RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R003135,World Diamond Engineering Limited,14398281,"Unit 1706-7, 17/F, 9, Wing Hong Street, Cheung Sha Wan, Kowloon",26205003,27425450,wdengrg@netvigator.com,4 Jan 2022,3 Jan 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Others(CCTV Inspection and High Pressure Water Jetting of Drainage System)
R003170,Wah Fung Engineering Company Limited,21941710,"Flat/Rm 310, 3/F, Fuk Shing Comm. Building, 28, On Lok Mun Street, On Lok Tsuen, Fanling, NT",28183428,30206722,wfe.ac@hotmail.com,13 Feb 2024,12 Feb 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003269,Sun Ying Engineer Company,32291215,"74, Kei Lun Tsuen, San Tin Yuen Long, N.T.",24829217,24829217,ckcheung9222@gmail.com,11 May 2024,10 May 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003272,Pui Hing Construction Company Limited,16668808,"Flat B, 2/F, Kam Bun Industrial Building, 13-19, Kwai Wing Road, Kwai Chung, N.T.",25533198,25800705,info@phc.com.hk,11 May 2024,10 May 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 04.06 Temporary Electricity Installations
R003290,Riseway Construction Engineering Limited,35413163,"Room 1-4, 10/F, Two Portside, 9, Pat Tat Street, Wong Tai Sin, Kowloon",37431468,30113208,riseway@risewayconstruction.com,11 May 2024,10 May 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.10 Other Finishing Trades and Components :: Signage and graphics
R003512,Pak Kee Construction Co. Limited,21433264,"Flat/Rm 1105, 11/F, Technology Park, 18, On Lai Street, Shatin, N.T.",23888717,23740931,pakkeeconstruction@hotmail.com,19 Nov 2025,18 Nov 2028,01.09 General Civil Works :: Roadworks | 02.06 Tanking and Waterproofing
R003610,Golden Resources Engineering Limited,16882200,"Flat 16, 2/F, Trans Asia Centre, 18, Kin Hong Street, Kwai Tsing, N.T.",23957710,23957919,goldenresourceseng@grehk.com,5 Feb 2026,4 Feb 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.15 Plumbing | 04.04 Hoarding
R003647,Univic Construction Resources Limited,15958410,"Room 720, 7/F, Reality Tower , No. 4, Shun On Street , Eastern, Hong Kong",28988510,25586900,info@kwanon.hk,25 Mar 2026,24 Mar 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Geotechnical works
R003770,Man Shun Construction & Engineering Company Limited,17976327,"Shop D, M/F, Seaview Building, 1, Ngan Wan Road, Islands, N.T.",29849833,29842338,manshun8@gmail.com,24 Jul 2023,23 Jul 2026,01.09 General Civil Works :: Roadworks
R003888,Kwan Shing Engineering Co. Limited,37848764,"Unit 812, 8/F, Star House, 3, Salisbury Road, Tsim Sha Tsui, Kowloon",37934038,24823305,info@kwanshing.com.hk,20 Nov 2023,19 Nov 2026,"01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.02 Marble, Granite and Stone Work :: Marble/granite work | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.02 Burglar Alarm and Security | 03.08 Heating, Ventilation, and Air-conditioning | 03.15 Plumbing | 04.04 Hoarding"
R003988,Granville Civil Limited,33907722,"Unit 1502-1503, 15/F, Kowloon Plaza, No. 485, Castle Peak Road, Lai Chi Kok, Kowloon",27246690,23111028,general.granville@gmail.com,27 Apr 2024,26 Apr 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003996,Wing Fu Civil Engineering & Construction Limited,38712603,"Room 333, 3/F, Kwong Yee House, Kwong Fuk Estate, Tai Po, N.T.",91907505,30206234,wfcc@wfcc.com.hk,27 Apr 2024,26 Apr 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R004060,Best Build Construction Company Limited,16790754,"41/F, United Asia Finance Centre, 333, Lockhart Road, Wan Chai, Hong Kong",31060333,31051881,info@bestbuild.hk,2 Jun 2024,1 Jun 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004183,Hing Fat Engineering Expand (HK) Company Limited trading as Hing Fat Engineering Company,39161554,"Room 6, 35/F, Shing Ting House, Tin Shing Court, Yuen Long, N.T.",96281437,,hingfat1111@yahoo.com.hk,7 Oct 2024,6 Oct 2027,01.09 General Civil Works | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Others(Waterworks)
R004207,Sing Cheong Engineering Company Limited,19510076,"Flat 13, 2/F, Kai Fuk Industrial Centre, 1, Wang Tung Street, Kwun Tong, Kowloon",26248338,24433891,singcheong.sc@gmail.com,16 Nov 2025,15 Nov 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.15 Plumbing | 04.05 Temporary Water Supply Installations | 04.06 Temporary Electricity Installations
R004217,Chiu Hing Construction & Transportation Company Limited,03361817,"Room 201, 2/F, Fuk Shing Commercial Building, On Lok Tsuen, 28, On Lok Mun Street, North, N.T.",27719197,27821075,chiuhing@netvigator.com,16 Nov 2025,15 Nov 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004247,Max Strong Ltd,10362973,"Unit 7, 1/F, Newport Centre Phase II, 116, Ma Tau Kok Road, Kowloon City, Kowloon",34602895,24741283,natalie.lam@maxstrong.hk,18 Dec 2025,17 Dec 2028,01.09 General Civil Works :: Roadworks | 03.21 Other E&M Trades :: Gas installation
R004314,Yick Tai Engineering Company Limited,51116874,"2/F, Block C, Yuen Long Villa, 254, Ma Tin Pok, Yuen Long, New Territories",24788026,,Yick.tai.eng.co@gmail.com,3 May 2026,2 May 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Pipe Jacking)
R004446,Fook Wing Construction Engineering Co,14814225,"Flat D, 24/F, TMTL 302, Kam Hing Building, Castle Peak Road, Tuen Mun, N.T.",62337649,39531611,3lanceking@gmail.com,2 Jun 2023,1 Jun 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R004991,Hong Kong Asphalt (Green) Limited,30671671,"Room 604, 6/F, Kalok Building, 720, Nathan Road, Kowloon",65325988,,hkasphalt.acc@gmail.com,5 Nov 2023,4 Nov 2026,01.09 General Civil Works :: Roadworks
R005012,Joint Wisdom Engineering Limited,39548655,"Lot No. TKT1734, Wing Shun Street, Kwai Chung, New Territories",28869029,81016322,austin.chan@jwelighting.com,5 Nov 2023,4 Nov 2026,01.09 General Civil Works :: Roadworks | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation
R005199,Chester Construction Co. Limited,18897124,"Unit C2, 7/F, Por Mee Factory Building, 500, Castle Peak Road, Sham Shui Po, Kowloon",29590230,21165070,chester@chesterhk.com,23 Nov 2023,22 Nov 2026,01.09 General Civil Works :: Roadworks | 03.02 Burglar Alarm and Security
R005207,Henryvicy Construction Co Ltd,06300866,"Room 1510, Nan Fung Centre, 264-298, Castle Peak Road, Tsuen Wan, N.T.",24161108,24110650,info@henryvicy.hk,23 Nov 2026,22 Nov 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005223,Cheung Yuen Construction Engineering Limited,39774337,"Workshop 802, 8/F, Block A , Wing Kut Industrial Building, 608, Castle Peak Road, Cheung Sha Wan, Kowloon",29529989,29529908,waicheong138@yahoo.com.hk,13 Dec 2023,12 Dec 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005508,Sun Hing Eng Co.,38306711,"Room 915, Kai Ning House, Kai Yip Estate, Kowloon Bay, Kowloon",98851066,,ken6f23@gmail.com,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005517,Rickwork Contractor Company Limited,52352712,"Flat 2, 18/F, Block B, Kwai Fong Industrial Building, 9-15, Kwai Cheong Road, Kwai Tsing, N.T.",55404303,25727323,rickworkinfo@gmail.com,26 Jan 2025,25 Jan 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005551,Autotoll Limited,21506338,"11/F, Tower A, Billion Centre, 1, Wang Kwong Road, Kowloon Bay, Kowloon",31821358,21119459,admin@autotoll.com.hk,28 Feb 2024,27 Feb 2027,01.09 General Civil Works :: Roadworks | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 03.04 Electrical :: Electrical control and power panel assembly | 03.20 Uninterruptible Power Supply | 03.21 Other E&M Trades :: Security and communication system | 03.21 Other E&M Trades :: Signage
R005849,Wang Kee Construction Co,08610320,"Flat B, 10/F, Tower 3, Parc Royale, 8, Hin Tai Street, Tai Wai, Shatin, N.T.",95119735,,wang.yu.wangkee@gmail.com,7 Jun 2024,6 Jun 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R005855,Yiu Chak Construction Engineering Limited,35570181,"Room 604, 6/F, Kalok Building, 720, Nathan Road, Mong Kok, Kowloon",27535233,27535577,yiuchak@gmail.com,7 Jun 2024,6 Jun 2027,01.09 General Civil Works :: Roadworks
R005993,Shing Kee Building and Construction Limited trading as Shing Kee,34318801,"Room 711, 7/F, Hei Wo House , Tai Wo Estate, Tai Po, New Territories",91788698,26574489,shingkeelam@hotmail.com,2 Sep 2025,1 Sep 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.10 Other Finishing Trades and Components :: Signage and graphics | 04.04 Hoarding
R006181,Well Future Engineering Limited,53170072,"Room 803, 8/F, Tung Hip Commercial Building, 248, Des Voeux Road, Central and Western, Hong Kong",31523308,37403568,wellfuture1803@outlook.com,16 Jan 2026,15 Jan 2029,01.09 General Civil Works :: Roadworks
R006182,Easy Way Engineering Limited,58024579,"Workshop A57, 24/F, Regent's Park, Prince Industrial Building, No. 706 , Prince Edward Road East, Wong Tai Sin, Kowloon",37412368,37403420,info@easywayengineering.com,16 Jan 2026,15 Jan 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006212,Kun Shing Engineering Company,53816391,"Room 2, 5/F, Nathan Centre, 580G-K, Natha Road, Yau Tsim Mong, Kowloon",91239814,,ksec_2011@yahoo.com.hk,16 Jan 2026,15 Jan 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006243,Granhold Construction Engineering Limited,53542219,"Room 1, 11/F, Kin Wing Industrial Building, 33, Kin Wing Street, Tuen Mun, N.T.",24684489,24657288,hr_granhold@yahoo.com,15 Feb 2026,14 Feb 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006407,Wealth King Development Limited,37524035,"Room 01, 11/F, Kin Wing Industrial Building, 33, Kin Wing Street, Tuen Mun, NT",24684489,24657288,hr_granhold@yahoo.com,30 May 2026,29 May 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006419,Kong Power Engineering Limited,59235604,"Unit B, 3/F, Enterprise Building, 228-238, Queen's Road Central, Central and Western, Hong Kong",37410916,37403296,info@kongpowerengineering.com,26 Jun 2026,25 Jun 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006424,Sunny Smart Engineering Limited,59187829,"Flat G1, 35/F, Legend Tower, 7, Shing Yip Street, Kwun Tong, Kowloon",35250198,37403424,info@sunnysmartengineering.com,26 Jun 2026,25 Jun 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006440,Ip's Engineering Company Limited,21812113,"Room K, 1/F, Block 1, Tsui Lai Garden, 9, Fung Nam Road, Sheung Shui, North, N.T.",94865224,26701782,ips_engg@yahoo.com.hk,26 Jun 2026,25 Jun 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R006453,Mak Yip Construction & Engineering Co.,30410584,"Room A, 2/F, Shung Tak Building, 14-18, Kik Yeung Road, Yuen Long, N.T.",29447466,24427387,my29447466@gmail.com,26 Jun 2026,25 Jun 2029,01.09 General Civil Works :: Roadworks | 02.06 Tanking and Waterproofing
R006515,Full Dragon Construction Engineering Limited,58830964,"Flat A58, 24/F, Regent's Park, Prince Industrial Building, No.706, Prince Edward Road East, Wong Tai Sin, Kowloon",35210418,37403421,info@fulldragonconstruction.com,9 Aug 2026,8 Aug 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R006537,Bonfide Engineering Limited,59435187,"Room 7192, 7/F, Block B, Profit Industrial Building, 1-15, Kwai Fung Crescent, Kwai Tsing, N.T.",26336371,24363330,ericwong@bonfide-eng.com.hk,9 Aug 2023,8 Aug 2026,01.09 General Civil Works :: Roadworks | 01.10 Other Structural and Civil Trades :: Expansion joints
R006656,Shumo Development Limited,31767287,"Room B, 6/F, Shing Tech Factory Building, 44, Wong Chuk Hang Road, Aberdeen, Hong Kong",34640391,34640397,shumoltd@gmail.com,18 Oct 2023,17 Oct 2026,01.09 General Civil Works :: Roadworks
R006766,Tai Chun Engineering Limited,21205394,"G/F, Tai Po Depot, 35, Pak Shing Street, Tai Po, N.T.",26313682,26330932,taichun.eng@gmail.com,11 Dec 2023,10 Dec 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing
R006795,Well Choice International Engineering Limited,39235616,"Room L, 9/F, Kings Wing Plaza 2, 1, On Kwan Street, Shatin, New Territories",60109614,35154102,info@wellchoice.hk,17 Jan 2024,16 Jan 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R006987,Kin Chiu Engineering Limited,59703679,"Flat A, 15/F, Tower A, Capital Tower, 38, Wai Yip Street, Kwun Tong, Kowloon",28119688,28119683,kin-chiu88@kinchiu.com.hk,3 May 2024,2 May 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks) | 02.10 Other Finishing Trades and Components :: Signage and graphics | 04.04 Hoarding
R007306,Fortune Ocean Engineering Limited,36060113,"Room 507, 5/F, Sun Ling Plaza, 30, On Kui Street, North, N.T.",92066656,,fortuneoceaneng@gmail.com,13 Nov 2023,12 Nov 2026,"01.09 General Civil Works | 01.09 General Civil Works :: Roadworks | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 04.08 Miscellaneous Cleaning Services"
R007518,Wing Tak Construction Engineering Limited,53792608,"Flat C3, 25/F, Jing Ho Industrial Building, 78-84, Wang Lung Street, Tsuen Wan, NT",34854390,34854391,wingtak3282@yahoo.com.hk,16 Apr 2026,15 Apr 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R007543,Top Union Engineering Limited,32489921,"1/F, Block 1G, Cheung Muk Tau Village, Sai Kung, N.T.",22432113,22432331,topunion.site@gmail.com,16 Apr 2026,15 Apr 2029,01.09 General Civil Works :: Roadworks
R007576,Sing Fai Construction Limited,39090987,"Flat 1030, Heng Yiu House, Fu Heng Estate, Tai Po, N.T.",98371531,,singfaiconstructioncompany@gmail.com,15 May 2026,14 May 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.04 Electrical
R007696,Lingma Construction & Engineering Limited,39290745,"Flat K, 12/F, Gold King Industrial Building, 35, Tai Lin Pai Road, Kwai Tsing, N.T.",29863145,24794892,lingma12@gmail.com,24 Jul 2021,23 Jul 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Others(Tunnel Works ) | 02.05 Shutters/Doors Fabrication and Installation | 03.21 Other E&M Trades :: Welding
R007704,"Talent Mart Construction Co., Limited",63197010,"Unit 915, 9/F, Mega Cube, 8, Wang Kwong Road, Kowloon Bay, Kowloon",26923398,26923968,tm.angiechung@gmail.com,24 Jul 2023,23 Jul 2026,01.09 General Civil Works :: Roadworks
R007714,Ching Cheong Construction Company,54002860,"Flat C, 11/F, Block 14, Locwood Court, Kingswood Villas, Tin Shui Wai, N.T.",93389848,00000000,chingcheongcc2012@gmail.com,24 Jul 2023,23 Jul 2026,"01.09 General Civil Works :: Roadworks | 02.02 Marble, Granite and Stone Work :: Marble/granite work"
R007733,Hop Kwan Infrastructure Limited,63048506,"Room 9, 11/F, Tower B, SouthMark, 11, Yip Hing Street, Wong Chuk Hang, Hong Kong",34640392,34640397,hopkwanworks@gmail.com,27 Aug 2021,26 Aug 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R007814,Vernaltex Company Limited,11919517,"Room 1606, 16/F, China Insurance Group Building, No. 139-141, Des Voeux Road Central, Central and Western, Hong Kong",36902281,37403579,vernaltex1006@outlook.com,30 Sep 2026,29 Sep 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
